term,pos,meaningZh,meaningEn,exampleEn,exampleZh,band
disheveled,adj.,凌乱的；衣冠不整的,untidy,His disheveled look shocked.,他凌乱的模样令人震惊。,8
disinclined,adj.,不愿意的；不感兴趣的,unwilling,He was disinclined to go.,他不愿意去。,8
disingenuous,adj.,不真诚的；虚伪的,insincere,His disingenuous smile fooled none.,他虚伪的微笑骗不了人。,8
disinter,v.,挖出；发掘,to dig up,They disinterred the relic.,他们挖出了遗物。,8
disjointed,adj.,脱节的；杂乱的,disconnected,His disjointed tale confused.,他脱节的故事令人困惑。,8
dismal,adj.,阴沉的；凄凉的,gloomy,The dismal weather depressed.,阴沉的天气让人沮丧。,8
dismantle,v.,拆除；废除,to take apart,They dismantled the rig.,他们拆除了装置。,8
dispatch,v./n.,派遣；迅速了结,to send off,He dispatched the letter.,他寄出了信。,8
dispel,v.,驱散；消除,to scatter,The sun dispelled fog.,太阳驱散了雾。,8
dispense,v.,分配；免除,to distribute,The machine dispensed water.,机器分配了水。,8
disperse,v.,分散；散开,to spread,The crowd dispersed.,人群散开了。,8
disport,v.,玩耍；嬉戏,to amuse oneself,They disported by the lake.,他们在湖边嬉戏。,8
dispute,n./v.,争端；争论,a conflict,The dispute ended.,争端结束了。,8
dissemble,v.,掩饰；伪装,to conceal,He dissembled fear.,他掩饰恐惧。,8
disseminate,v.,传播；散布,to spread widely,They disseminated news.,他们传播了消息。,8
dissent,n./v.,异议；持不同意见,disagreement,He voiced dissent.,他表达了异议。,8
dissident,n.,持不同政见者,a dissenter,The dissident was jailed.,持异见者入狱了。,8
dissipate,v.,消散；挥霍,to disperse,The mist dissipated.,雾消散了。,8
dissonance,n.,不和谐；不一致,discord,The dissonance jarred.,不和谐刺耳。,8
dissuade,v.,劝阻；劝止,to persuade against,She dissuaded him.,她劝阻了他。,8
distend,v.,膨胀；扩张,to swell,The balloon distended.,气球膨胀了。,8
distraught,adj.,心烦意乱的；发狂的,deeply upset,The distraught mother wept.,心烦意乱的母亲哭了。,8
diverge,v.,分歧；偏离,to branch off,The paths diverged.,道路分岔了。,8
diverse,adj.,多样的；不同的,varied,The diverse group mixed.,多样的群体融合了。,8
divest,v.,剥夺；脱去,to strip,They divested him of power.,他们剥夺了他的权力。,8
divulge,v.,泄露；暴露,to reveal,Do not divulge the secret.,不要泄露秘密。,8
docile,adj.,温顺的；易管教的,submissive,The docile horse obeyed.,温顺的马听话了。,8
dogged,adj.,顽强的；固执的,persistent,His dogged effort won.,他顽强的努力赢了。,8
dogma,n.,教条；信条,a fixed belief,The dogma was challenged.,教条受到挑战。,8
doldrums,n.,忧郁；无活力,a state of low spirits,He fell in the doldrums.,他陷入忧郁。,8
doleful,adj.,悲哀的；忧郁的,mournful,The doleful song saddened.,悲哀的歌让人伤心。,8
dolt,n.,笨蛋；傻瓜,a stupid person,The dolt dropped it.,傻瓜把它掉了。,8
dormant,adj.,休眠的；静止的,inactive,The volcano is dormant.,火山休眠了。,8
dour,adj.,严厉的；阴郁的,stern and gloomy,The dour judge frowned.,严厉的法官皱眉。,8
dwindle,v.,减少；缩小,to diminish,The supply dwindled.,供应减少了。,8
dynamic,adj.,动态的；有活力的,energetic,The dynamic leader inspired.,充满活力的领袖鼓舞了人。,8
earthenware,n.,陶器；瓦器,pottery,The earthenware cracked.,陶器裂了。,8
ebullient,adj.,热情奔放的；沸腾的,overflowing with enthusiasm,Her ebullient laugh rang.,她奔放的笑声回荡。,8
eclectic,adj.,兼收并蓄的；折中的,drawing from many,His taste is eclectic.,他的品味兼收并蓄。,8
edict,n.,法令；敕令,a decree,The edict banned it.,法令禁止了它。,8
edify,v.,陶冶；启发,to instruct,The sermon edified them.,布道启发了他们。,8
efface,v.,抹去；消除,to erase,He effaced the mark.,他抹去了痕迹。,8
effectuate,v.,实现；使生效,to bring about,He effectuated the plan.,他实现了计划。,8
effigy,n.,肖像；雕像；模拟像,a crude image,They burned the effigy.,他们烧了模拟像。,8
effrontery,n.,厚颜；无礼,shameless boldness,He had the effrontery to laugh.,他厚颜地笑了。,8
egoism,n.,利己主义；自我中心,self-interest,His egoism repelled.,他的利己主义令人反感。,8
egress,n.,出口；外出,a way out,The egress was blocked.,出口被堵了。,8
ejaculate,v.,突然说出；射出,to utter suddenly,He ejaculated a curse.,他突然骂了一句。,8
elated,adj.,兴高采烈的；得意扬扬的,extremely happy,The elated winner cheered.,兴高采烈的赢家欢呼。,8
elegy,n.,挽歌；哀诗,a poem of mourning,He wrote an elegy.,他写了挽歌。,8
elicit,v.,引出；探出,to draw out,The question elicited truth.,问题引出了真相。,8
elixir,n.,灵丹妙药；酏剂,a magical cure,The elixir healed.,灵药治愈了。,8
elope,v.,私奔；逃走,to run away to marry,They eloped at night.,他们夜里私奔了。,8
elucidate,v.,阐明；解释,to make clear,He elucidated the point.,他阐明了要点。,8
elusive,adj.,难捉摸的；逃避的,hard to catch,The elusive answer hid.,难捉摸的答案藏起来了。,8
emaciated,adj.,消瘦的；憔悴的,abnormally thin,The emaciated prisoner weakened.,消瘦的囚犯虚弱了。,8
emancipate,v.,解放；解除,to set free,The law emancipated slaves.,法律解放了奴隶。,8
embargo,n./v.,禁运；禁止,ban on trade,The embargo ended.,禁运结束了。,8
embark,v.,上船；着手,to begin a venture,They embarked on the trip.,他们着手旅行。,8
embed,v.,嵌入；深植,to fix firmly,The tile embedded in wall.,瓷砖嵌入墙中。,8
embellish,v.,装饰；润色,to adorn,She embellished the tale.,她润色了故事。,8
embezzle,v.,盗用；贪污,to steal funds,He embezzled money.,他盗用了公款。,8
emblem,n.,象征；徽章,a symbol,The dove is an emblem.,鸽子是象征。,8
embolden,v.,壮胆；鼓励,to give courage,The cheer emboldened him.,欢呼给他壮了胆。,8
emend,v.,修订；校订,to correct a text,He emended the manuscript.,他校订了手稿。,8
emetic,n./adj.,催吐剂；致吐的,causing vomiting,The emetic worked.,催吐剂起作用了。,8
eminence,n.,卓越；高处,high distinction,His eminence was known.,他的卓越闻名。,8
emissary,n.,使者；密使,a representative,The emissary negotiated.,使者谈判了。,8
emollient,n./adj.,润肤剂；缓和物,a softening agent,Use an emollient.,用润肤剂。,8
empirical,adj.,经验主义的,based on experience,The empirical study proved.,经验研究证明了。,8
emulate,v.,效仿；与…竞争,to imitate,He emulated his hero.,他效仿偶像。,8
enamor,v.,使倾心；使迷恋,to charm,She was enamored.,她被迷住了。,8
encapsulate,v.,封装；概括,to sum up,The phrase encapsulates it.,短语概括了它。,8
enclave,n.,飞地；孤立区,a separated territory,The enclave remained.,飞地保留了。,8
encomium,n.,赞词；颂词,high praise,He delivered an encomium.,他致了颂词。,8
encumber,v.,拖累；阻塞,to burden,The load encumbered him.,重负拖累了他。,8
endemic,adj.,地方性的；固有的,native to a region,The disease is endemic.,那种病是地方性的。,8
endorse,v.,背书；赞同,to support,She endorsed the plan.,她赞同计划。,8
endow,v.,捐赠；赋予,to provide with funds,He endowed the college.,他捐赠了学院。,8
enervate,v.,使衰弱；使无力,to weaken,The heat enervated them.,酷热让他们虚弱。,8
engender,v.,产生；引起,to cause,The act engendered trust.,行为产生了信任。,8
engross,v.,使全神贯注,to absorb,The book engrossed her.,书让她全神贯注。,8
enhance,v.,提高；增强,to improve,The update enhanced speed.,更新增强了速度。,8
enigma,n.,谜；神秘人,a puzzle,The murder was an enigma.,那桩谋杀是个谜。,8
enjoin,v.,命令；嘱咐,to order,He enjoined silence.,他命令安静。,8
enmity,n.,敌意；仇恨,deep hatred,The enmity grew.,敌意加深了。,8
ennui,n.,厌倦；无聊,listlessness,The long wait bred ennui.,漫长等待滋生厌倦。,8
enrapture,v.,使狂喜；使陶醉,to delight greatly,The music enraptured her.,音乐让她陶醉。,8
ensue,v.,接着发生；因而产生,to follow,Chaos ensued.,混乱随之而来。,8
enthrall,v.,迷住；使着迷,to captivate,The tale enthralled all.,故事迷住了所有人。,8
entice,v.,诱惑；怂恿,to attract by charm,The smell enticed him.,气味诱惑了他。,8
entitled,adj.,有资格的；自以为是的,having a right,He felt entitled.,他自觉有资格。,8
entomology,n.,昆虫学,the study of insects,He studied entomology.,他学习昆虫学。,8
entreat,v.,恳求；乞求,to beg,She entreated mercy.,她恳求怜悯。,8
enumerate,v.,列举；枚举,to list,He enumerated the points.,他列举了要点。,8
ephemeral,adj.,短暂的；瞬息的,short-lived,The ephemeral beauty faded.,短暂的美消失了。,8
epitaph,n.,墓志铭；挽词,an inscription for the dead,The epitaph moved.,墓志铭令人感动。,8
epithet,n.,绰号；修饰语,a descriptive word,The epithet stuck.,那个绰号留下了。,8
epitome,n.,缩影；典范,a perfect example,He is the epitome.,他是典范。,8
equable,adj.,平和的；稳定的,even-tempered,The equable judge calmed.,平和的法官冷静了。,8
equanimity,n.,镇定；沉着,calmness,She met it with equanimity.,她镇定面对。,8
equate,v.,等同；使相等,to treat as equal,Do not equate the two.,不要把两者等同。,8
equinox,n.,春分；秋分,a time of equal day night,The equinox arrived.,春分到了。,8
equivocal,adj.,模棱两可的；可疑的,ambiguous,His equivocal answer hid truth.,他模棱两可的回答掩盖了真相。,8
equivocate,v.,支吾；含糊其词,to use ambiguous language,He equivocated on cost.,他在费用上支吾。,8
eradicate,v.,根除；消灭,to destroy utterly,They eradicated the disease.,他们根除了疾病。,8
erase,v.,擦掉；抹去,to remove,He erased the mark.,他擦掉了痕迹。,8
erect,adj./v.,直立的；竖立,upright,They erected a statue.,他们竖立了雕像。,8
ermine,n.,白鼬；貂皮,a weasel or its fur,The ermine glistened.,白鼬闪闪发亮。,8
erode,v.,侵蚀；腐蚀,to wear away,The river eroded banks.,河流侵蚀了河岸。,8
erotic,adj.,性爱的；色情的,sexual,The erotic art shocked.,情色艺术令人震惊。,8
errant,adj.,漂泊的；犯错的,wandering,The errant knight returned.,漂泊的骑士回来了。,8
erratic,adj.,不稳定的；古怪的,irregular,His erratic mood worried.,他不稳定的情绪令人担忧。,8
erudite,adj.,博学的,learned,The erudite scholar wrote.,博学的学者著作了。,8
escalate,v.,升级；使加剧,to intensify,The conflict escalated.,冲突升级了。,8
eschew,v.,避开；戒绝,to avoid,He eschewed meat.,他戒绝了肉。,8
esoteric,adj.,深奥的；秘传的,understood by few,The esoteric text puzzled.,深奥的文本令人困惑。,8
espouse,v.,拥护；娶,to support,She espoused the cause.,她拥护事业。,8
estrange,v.,使疏远；离间,to alienate,The fight estranged them.,争吵疏远了他们。,8
ethereal,adj.,轻飘的；空灵的,delicate and light,The ethereal music soothed.,空灵的音乐安抚了。,8
ethos,n.,精神特质；风气,the character of a culture,The school ethos inspired.,学校风气鼓舞了人。,8
eulogy,n.,颂词；悼词,praise speech,He delivered a eulogy.,他致了悼词。,8
euphemism,n.,委婉语,a mild substitute,Restroom is a euphemism.,洗手间是委婉语。,8
euphoria,n.,狂喜；兴高采烈,intense happiness,The euphoria faded.,狂喜消退了。,8
evanescent,adj.,易逝的；短暂的,quickly vanishing,The evanescent dawn passed.,短暂的黎明过去了。,8
evince,v.,表明；显示,to show clearly,He evinced interest.,他显示了兴趣。,8
evoke,v.,唤起；引起,to bring to mind,The song evoked memories.,歌唤起了回忆。,8
exacerbate,v.,使恶化；加剧,to worsen,The drug exacerbated pain.,药加剧了疼痛。,8
exacting,adj.,苛求的；严厉的,making great demands,His exacting boss tired him.,苛求的老板累坏了他。,8
exalt,v.,提升；赞扬,to raise in status,They exalted the hero.,他们赞扬英雄。,8
exasperate,v.,激怒；使恼火,to irritate,His delay exasperated her.,他的拖延激怒了她。,8
excavate,v.,挖掘；掘出,to dig out,They excavated ruins.,他们挖掘了废墟。,8
excerpt,n./v.,摘录；引用,a passage,She read an excerpt.,她读了摘录。,8
excise,v.,切除；删去,to cut out,The surgeon excised it.,外科医生切除了它。,8
exclaim,v.,呼喊；惊叫,to cry out,She exclaimed in joy.,她高兴地叫起来。,8
excoriate,v.,严厉批评；擦破,to censure sharply,The review excoriated the film.,评论严厉批评了电影。,8
exculpate,v.,开脱；证明无罪,to clear of blame,Evidence exculpated him.,证据开脱了他。,8
exemplar,n.,模范；典范,a model,He is an exemplar.,他是典范。,8
exemplify,v.,举例说明；是…的范例,to serve as example,This exemplifies it.,这举例说明了。,8
exhort,v.,劝勉；力劝,to urge strongly,She exhorted them.,她力劝他们。,8
exigency,n.,紧急；危急,a pressing need,The exigency demanded action.,危急需要行动。,8
exiguous,adj.,稀少的；微小的,scanty,The exiguous supply failed.,稀少的供应耗尽了。,8
exonerate,v.,免除；证明无罪,to free from blame,The verdict exonerated her.,判决证明她无罪。,8
exorbitant,adj.,过度的；昂贵的,excessive,The exorbitant fee shocked.,过高的费用令人震惊。,8
exorcise,v.,驱除；除邪,to drive out evil,They exorcised the ghost.,他们驱除了鬼。,8
exotic,adj.,异国的；外来的,foreign and unusual,The exotic fruit tempted.,异国水果诱人。,8
expansive,adj.,广阔的；健谈的,broad and open,His expansive mood returned.,他健谈的情绪回来了。,8
expediate,v.,加快；促进,to hasten,They expediated the work.,他们加快了工作。,8
expedient,adj./n.,权宜的；权宜之计,convenient,It was an expedient fix.,那是权宜之计。,8
expel,v.,驱逐；开除,to force out,They expelled the spy.,他们驱逐了间谍。,8
expiate,v.,赎罪；补偿,to atone,He sought to expiate.,他寻求赎罪。,8
expunge,v.,抹去；删除,to erase,They expunged the record.,他们删除了记录。,8
expurgate,v.,删去；净化,to remove objectionable parts,They expurgated the text.,他们删去了文本。,8
exquisite,adj.,精致的；剧烈的,extremely beautiful,The exquisite art amazed.,精致的艺术令人惊叹。,8
extant,adj.,现存的,still existing,The manuscript is extant.,手稿现存。,8
extemporize,v.,即兴创作；即席演说,to speak without preparation,He extemporized a speech.,他即兴演讲。,8
extenuating,adj.,情有可原的；减轻的,excusing,The extenuating facts helped.,情有可原的事实有帮助。,8
extirpate,v.,根除；消灭,to root out,They extirpated the weed.,他们根除了杂草。,8
extol,v.,赞美；颂扬,to praise highly,They extolled his deed.,他们赞美他的行为。,8
extort,v.,敲诈；强索,to obtain by force,He extorted money.,他敲诈了钱。,8
extraneous,adj.,无关的；外来的,irrelevant,Remove extraneous detail.,删去无关细节。,8
extricate,v.,解救；使脱离,to free from difficulty,He extricated the dog.,他解救了狗。,8
exult,v.,狂喜；欢腾,to rejoice greatly,They exulted in victory.,他们因胜利狂喜。,8
fabricate,v.,捏造；制造,to invent falsely,He fabricated the story.,他捏造了故事。,8
facade,n.,正面；表面,a deceptive outward appearance,The facade hid decay.,表面掩盖了腐朽。,8
facile,adj.,轻而易举的；肤浅的,too simple,His facile answer annoyed.,他肤浅的回答惹恼了。,8
faction,n.,派系；内讧,a dissenting group,The faction split.,派系分裂了。,8
fallacious,adj.,谬误的；欺骗的,false,The fallacious claim failed.,谬误的说法失败了。,8
fallible,adj.,易犯错的,capable of error,He is fallible.,他会犯错。,8
falter,v.,蹒跚；犹豫,to hesitate,His voice faltered.,他的声音犹豫了。,8
fanatic,n./adj.,狂热者；狂热的,a zealot,The fanatic preached.,狂热者布道。,8
farce,n.,闹剧；滑稽戏,a ridiculous event,The trial was a farce.,审判是闹剧。,8
fastidious,adj.,挑剔的；讲究的,overly careful,The fastidious cook frowned.,挑剔的厨师皱眉。,8
fatuous,adj.,愚昧的；自满的,foolishly self-satisfied,His fatuous grin annoyed.,他愚昧的傻笑惹恼了。,8
fauna,n.,动物群,the animals of a region,The fauna thrived.,动物群繁盛。,8
faux,adj.,人造的；仿的,false or fake,The faux leather peeled.,人造革剥落了。,8
fawning,adj.,奉承的；摇尾乞怜的,ingratiating,The fawning servant bowed.,奉承的仆人鞠躬。,8
fealty,n.,忠诚；效忠,loyalty,He swore fealty.,他宣誓效忠。,8
feasible,adj.,可行的；可能的,capable of being done,The plan is feasible.,计划可行。,8
fecund,adj.,多产的；肥沃的,fertile,The fecund land yielded.,肥沃的土地丰收了。,8
feign,v.,假装；捏造,to pretend,He feigned sleep.,他假装睡着。,8
feint,n./v.,佯攻；虚晃,a deceptive move,He feinted left.,他虚晃向左。,8
felicitous,adj.,恰当的；巧妙的,apt and pleasing,His felicitous phrase fit.,他巧妙的措辞合适。,8
felon,n.,重罪犯,a convicted criminal,The felon was jailed.,重罪犯入狱了。,8
feral,adj.,野生的；凶猛的,wild and savage,The feral cat hissed.,野猫嘶嘶叫。,8
ferment,n./v.,发酵；动乱,agitation,The ferment grew.,动乱加剧了。,8
ferret,v.,搜寻；用雪貂猎,to search out,He ferreted the truth.,他搜出了真相。,8
fervent,adj.,热烈的；炽热的,passionate,Her fervent wish came true.,她炽热的愿望实现了。,8
fervid,adj.,炽热的；热情的,impassioned,His fervid speech moved.,他热情的演讲动人。,8
fester,v.,化脓；恶化,to rot,The wound festered.,伤口化脓了。,8
fetid,adj.,恶臭的；腐烂的,stinking,The fetid swamp reeked.,恶臭的沼泽发臭。,8
fetish,n.,迷恋物；崇拜物,an obsessive object,The fetish puzzled.,那个迷恋物令人困惑。,8
feud,n./v.,世仇；长期不和,a bitter quarrel,The feud ended.,世仇结束了。,8
fiasco,n.,惨败；大失败,a complete failure,The party was a fiasco.,聚会是惨败。,8
fickle,adj.,易变的；无常的,changeable,The fickle wind shifted.,易变的风转向了。,8
fiduciary,adj./n.,受托的；受托人,holding trust,The fiduciary duty bound him.,受托责任约束了他。,8
fiend,n.,恶魔；能手,a demon or addict,The fiend laughed.,恶魔笑了。,8
figment,n.,虚构；臆想,an invention,The fear was a figment.,恐惧是臆想。,8
filch,v.,偷窃；小偷小摸,to steal small,He filched a cookie.,他偷了块饼干。,8
filial,adj.,子女的；孝顺的,of a child,His filial duty showed.,他的孝心显现了。,8
finale,n.,终曲；结局,the last part,The finale thrilled.,终曲令人激动。,8
finesse,n./v.,技巧；巧妙处理,subtle skill,He handled it with finesse.,他巧妙处理了。,8
finite,adj.,有限的；限定的,having limits,The resource is finite.,资源有限。,8
fissure,n./v.,裂缝；裂开,a cleft,The fissure widened.,裂缝扩大了。,8
fitness,n.,适合；健康,suitability,His fitness impressed.,他的适合度令人印象深刻。,8
flaccid,adj.,松弛的；软弱的,flabby,The flaccid plant drooped.,松弛的植物垂下。,8
flag,v.,衰退；减弱,to weaken,His energy flagged.,他的精力衰退了。,8
flagrant,adj.,公然的；恶名昭彰的,shockingly obvious,It was a flagrant lie.,那是公然的谎言。,8
flail,v.,胡乱挥动；鞭打,to swing wildly,He flailed his arms.,他胡乱挥臂。,8
flair,n.,天资；眼光,a natural talent,She has a flair for art.,她对艺术有天资。,8
flak,n.,高射炮；批评,anti-aircraft fire or criticism,He took the flak.,他承受了批评。,8
flamboyant,adj.,艳丽的；炫耀的,showy,The flamboyant dress drew eyes.,艳丽的裙子引人注目。,8
flaunt,v.,炫耀；招摇,to display boastfully,He flaunted wealth.,他炫耀财富。,8
flavor,n./v.,风味；加味,taste,The flavor pleased.,风味令人满意。,8
flaw,n./v.,瑕疵；使有缺陷,a defect,The flaw worsened.,瑕疵恶化了。,8
fledgling,adj./n.,初学的；雏鸟,a beginner,The fledgling writer struggled.,初学写作者挣扎着。,8
fleece,v./n.,诈骗；羊毛,to swindle,He fleeced the tourist.,他诈骗了游客。,8
flexible,adj.,灵活的；易弯曲的,able to bend,The flexible plan adapted.,灵活的计划适应了。,8
flimsy,adj.,脆弱的；无价值的,feeble,The flimsy excuse failed.,脆弱的借口失败了。,8
flinch,v.,退缩；畏缩,to draw back,He did not flinch.,他没有退缩。,8
flippant,adj.,轻率的；无礼的,lacking respect,His flippant reply angered.,他轻率的回答激怒了。,8
flit,v.,轻快地飞；掠过,to move quickly,The butterfly flitted.,蝴蝶轻快地飞。,8
flora,n.,植物群,the plants of a region,The flora bloomed.,植物群盛开。,8
florid,adj.,红润的；华丽的,flushed or ornate,His florid face reddened.,他红润的脸涨红了。,8
flout,v.,公然无视；藐视,to disobey openly,They flouted the law.,他们公然无视法律。,8
fluctuate,v.,波动；起伏,to vary irregularly,The price fluctuated.,价格起伏。,8
fluent,adj.,流利的；流畅的,able to flow,She is fluent in French.,她法语流利。,8
fluster,v.,使慌乱；使焦急,to confuse,The noise flustered her.,噪音让她慌乱。,8
foible,n.,小缺点；怪癖,a minor weakness,His foible amused.,他的小缺点逗人乐。,8
foil,v./n.,阻止；箔,to prevent,They foiled the plot.,他们阻止了阴谋。,8
foment,v.,煽动；激起,to stir up,He fomented unrest.,他煽动不安。,8
foolhardy,adj.,有勇无谋的；鲁莽的,recklessly bold,The foolhardy climb risked all.,鲁莽的攀登赌上一切。,8
footloose,adj.,自由自在的；无拘束的,free to go,The footloose traveler left.,无拘束的旅行者离开了。,8
forage,v./n.,搜寻粮草；觅食,to search for food,The deer foraged.,鹿觅食了。,8
foray,n./v.,突袭；涉足,a raid,He made a foray.,他进行了突袭。,8
forbear,v.,克制；忍耐,to refrain,He forbore to complain.,他克制不抱怨。,8
forbid,v.,禁止；不许,to prohibit,The rule forbids it.,规则禁止它。,8
ford,n./v.,浅滩；涉过,a shallow crossing,They forded the river.,他们涉过了河。,8
forebear,n.,祖先；祖宗,an ancestor,His forebears emigrated.,他的祖先移民了。,8
forebode,v.,预示；预感,to foreshadow,The storm foreboded trouble.,暴风雨预示麻烦。,8
forecast,n./v.,预报；预测,a prediction,The forecast warned.,预报警告了。,8
foreclose,v.,取消赎回；排除,to shut out,They foreclosed the loan.,他们取消了赎回权。,8
forensic,adj.,法庭的；法医的,relating to legal evidence,The forensic test proved.,法医检验证明了。,8
forfeit,v./n.,丧失；没收,to lose as penalty,He forfeited the game.,他丧失了比赛。,8
forgo,v.,放弃；不作,to abstain from,He forwent dessert.,他放弃了甜点。,8
forlorn,adj.,孤独的；绝望的,desolate,The forlorn figure waited.,孤独的身影等待着。,8
forsake,v.,抛弃；放弃,to abandon,He forsook the city.,他抛弃了城市。,8
forte,n.,特长；强项,a strength,Music is her forte.,音乐是她的特长。,8
fortitude,n.,坚韧；刚毅,courage,His fortitude inspired.,他的坚韧鼓舞了人。,8
fortuitous,adj.,偶然的；幸运的,by chance,The meeting was fortuitous.,相遇是偶然的。,8
forum,n.,论坛；广场,a public discussion,The forum debated.,论坛辩论了。,8
foster,v.,培养；收养,to encourage,They fostered talent.,他们培养了人才。,8
founder,v./n.,失败；奠基者,to fail,The plan founded.,计划失败了。,8
fracas,n.,喧闹；打架,a noisy brawl,The fracas alerted police.,喧闹惊动了警察。,8
fractious,adj.,易怒的；倔强的,irritable,The fractious child cried.,倔强的孩子哭了。,8
fraternal,adj.,兄弟的；友爱的,brotherly,The fraternal bond held.,兄弟情谊维持着。,8
frenetic,adj.,狂乱的；极度活跃的,frantic,The frenetic pace tired.,狂乱的节奏令人疲惫。,8
frenzy,n.,疯狂；狂乱,wild excitement,The frenzy peaked.,疯狂达到顶峰。,8
fret,v.,烦恼；磨损,to worry,She fretted all day.,她整天烦恼。,8
friction,n.,摩擦；不和,rubbing or conflict,The friction slowed.,摩擦减慢了。,8
frigid,adj.,寒冷的；冷淡的,very cold,The frigid air bit.,寒冷的空气刺骨。,8
fritter,v.,挥霍；细剁,to waste,He frittered time.,他挥霍了时间。,8
frivolous,adj.,轻浮的；无关紧要的,lacking seriousness,The frivolous chat wasted.,轻浮的聊天浪费了。,8
frugal,adj.,节约的；朴素的,thrifty,The frugal life saved.,节约的生活攒下了。,8
fugitive,adj./n.,逃亡的；逃犯,a runaway,The fugitive hid.,逃犯躲藏了。,8
fulcrum,n.,支点；支柱,the pivot,The fulcrum balanced.,支点平衡了。,8
fulminate,v.,怒斥；爆炸,to denounce,He fulminated against it.,他怒斥它。,8
fulsome,adj.,过度的；令人作呕的,excessive,His fulsome praise rang false.,他过度的赞扬听起来虚假。,8
fumble,v.,笨手笨脚地做；摸索,to grope,He fumbled the key.,他笨拙地摸钥匙。,8
functionary,n.,小官员；职员,a minor official,The functionary stamped.,小官员盖了章。,8
funnel,v./n.,漏斗；使汇集,a cone shaped device,They funneled funds.,他们汇集了资金。,8
furor,n.,狂热；盛怒,a wild craze,The furor died.,狂热消退了。,8
furrow,n./v.,犁沟；皱眉,a trench,He furrowed his brow.,他皱了眉。,8
fussy,adj.,挑剔的；过分讲究的,overly careful,The fussy guest complained.,挑剔的客人抱怨了。,8
futile,adj.,徒劳的；无效的,useless,The futile effort failed.,徒劳的努力失败了。,8
gadfly,n.,牛虻；爱挑剔者,a persistent irritant,The gadfly nagged.,爱挑剔者唠叨。,8
gaffe,n.,失礼；失言,a social blunder,His gaffe embarrassed.,他的失言令人尴尬。,8
gainsay,v.,否认；反驳,to deny,None could gainsay it.,没人能否认。,8
galvanize,v.,刺激；通电,to shock into action,The news galvanized them.,消息刺激了他们。,8
gambit,n.,策略；开局,an opening move,His gambit worked.,他的策略奏效了。,8
gamely,adv.,勇敢地；不屈地,in a spirited way,He fought gamely.,他勇敢地战斗。,8
gamine,n.,假小子；流浪女孩,a playful girl,The gamine grinned.,假小子咧嘴笑。,8
gamut,n.,全范围；全部,the full range,He ran the gamut.,他经历了全部。,8
gargantuan,adj.,巨大的；庞大的,enormous,The gargantuan task loomed.,庞大的任务迫近。,8
garish,adj.,俗艳的；过于鲜艳的,gaudy,The garish sign hurt eyes.,俗艳的招牌刺眼。,8
garner,v.,获得；收集,to gather,The film garnered awards.,电影获得了奖项。,8
garrulous,adj.,喋喋不休的；唠叨的,talkative,The garrulous man talked.,唠叨的人说个不停。,8
gauche,adj.,笨拙的；不善交际的,awkward,His gauche manner embarrassed.,他笨拙的举止令人尴尬。,8
gaudy,adj.,华丽的；俗气的,excessively bright,The gaudy costume flashed.,俗气的服装闪亮。,8
gaunt,adj.,憔悴的；骨瘦如柴的,thin and haggard,The gaunt prisoner weakened.,憔悴的囚犯虚弱了。,8
gauze,n.,薄纱；纱布,a thin fabric,The gauze covered.,纱布覆盖了。,8
gavel,n.,小木槌；槌,a judge's hammer,The gavel struck.,法槌落下。,8
genial,adj.,亲切的；温和的,friendly,The genial host smiled.,亲切的主人微笑了。,8
genteel,adj.,上流社会的；文雅的,polite and refined,The genteel lady bowed.,文雅的女士鞠躬了。,8
gentility,n.,绅士风度；高贵的地位,refinement,The gentility impressed.,高贵的风度令人印象深刻。,8
geriatric,adj.,老年的；老人的,of old age,The geriatric ward filled.,老年病房满了。,8
germane,adj.,密切相关的；恰当的,relevant,His point was germane.,他的要点切题。,8
gingerly,adv.,小心翼翼地,with great care,He stepped gingerly.,他小心翼翼地走。,8
girth,n.,围长；腰围,the measurement around,The girth was large.,围长很大。,8
glacial,adj.,冰河的；冷淡的,icy,The glacial stare chilled.,冰冷的凝视让人发冷。,8
glib,adj.,油嘴滑舌的；流利而浅薄的,fluent but insincere,His glib tongue fooled some.,他油嘴滑舌骗了些人。,8
glimmer,n./v.,微光；闪烁,a faint light,The glimmer faded.,微光消退了。,8
gloat,v.,幸灾乐祸；洋洋得意,to rejoice maliciously,He gloated over win.,他对胜利幸灾乐祸。,8
gloss,n./v.,光泽；注解,a surface shine,The gloss faded.,光泽消退了。,8
glower,v.,怒目而视,to stare angrily,He glowered at them.,他怒视他们。,8
glut,n./v.,供应过剩；充斥,an excessive supply,The glut dropped price.,过剩压低了价格。,8
glutton,n.,贪吃者；酷爱者,one who eats vastly,The glutton ate much.,贪吃者吃了很多。,8
gnarled,adj.,多瘤的；扭曲的,knotted,The gnarled tree bent.,多瘤的树弯了。,8
gnash,v.,咬牙；切齿,to grind teeth,He gnashed in rage.,他愤怒地咬牙。,8
gnome,n.,侏儒；格言,a dwarf or maxim,The garden gnome sat.,花园侏儒坐着。,8
goad,v./n.,刺激；驱使,to provoke,He goaded the ox.,他驱赶牛。,8
gobble,v.,狼吞虎咽；咯咯叫,to eat fast,He gobbled the meal.,他狼吞虎咽。,8
goblet,n.,高脚杯,a drinking cup,The goblet gleamed.,高脚杯闪闪发光。,8
goggle,v.,瞪视；睁眼,to stare,He goggled at sight.,他瞪视景象。,8
