term,pos,meaningZh,meaningEn,exampleEn,exampleZh,band
factor,n.,因素,element,Price is a key factor.,价格是关键因素。,5
fail,v.,失败,to not succeed,We fail to finish.,我们未能完成。,5
fair,adj.,公平的,just,The deal is fair.,交易公平。,5
fall,v.,落下,to drop,Leaves fall in autumn.,叶子秋天落下。,5
family,n.,家庭,relatives,My family is large.,我家人口多。,5
famous,adj.,著名的,well known,He is a famous actor.,他是著名演员。,5
far,adj.,远的,distant,The town is far.,城镇很远。,5
farm,n.,农场,land for crops,The farm is huge.,农场很大。,5
fast,adj.,快的,quick,The train is fast.,火车很快。,5
fat,adj.,胖的,heavy,The cat is fat.,猫很胖。,5
fate,n.,命运,destiny,His fate is sealed.,他的命运已定。,5
fault,n.,错误；故障,flaw or defect,It is my fault.,这是我的错。,5
favor,n.,喜爱；帮助,liking or help,Can you do me a favor.,能帮我个忙吗。,5
fear,n.,恐惧,dread,He felt real fear.,他感到真正的恐惧。,5
feature,n.,特征,trait,This is a key feature.,这是关键特征。,5
fee,n.,费用,charge,The fee is low.,费用很低。,5
feed,v.,喂养,to give food,We feed the dog.,我们喂狗。,5
feel,v.,感觉,to sense,She feels happy.,她感到快乐。,5
fellow,n.,同伴,companion,He is a good fellow.,他是个好伙伴。,5
female,adj.,女性的,of women,The female lead is strong.,女主角很强。,5
fence,n.,栅栏,barrier,The fence is wooden.,栅栏是木制的。,5
few,adj.,很少的,not many,We have few options.,我们选项很少。,5
field,n.,田野；领域,land or area,He works in this field.,他在这个领域工作。,5
fight,v.,战斗,to battle,They fight for rights.,他们为权利而战。,5
figure,n.,数字；人物,number or person,The figure rose.,数字上升了。,5
file,n.,文件,document,Open the file please.,请打开文件。,5
fill,v.,填满,to make full,We fill the glass.,我们倒满杯子。,5
film,n.,电影,movie,The film is long.,电影很长。,5
final,adj.,最终的,last,This is the final step.,这是最后一步。,5
finance,n.,金融,money management,He studies finance.,他学金融。,5
find,v.,找到,to locate,We find the answer.,我们找到答案。,5
fine,adj.,罚款；好的,okay or penalty,The weather is fine.,天气很好。,5
firm,adj.,坚定的,steady,He is firm on this.,他对此很坚定。,5
fish,n.,鱼,animal,The fish is fresh.,鱼很新鲜。,5
fit,v.,适合,to suit,This fits well.,这很合适。,5
fix,v.,修理,to repair,We fix the bike.,我们修自行车。,5
flag,n.,旗帜,cloth symbol,The flag waved.,旗帜飘扬。,5
flat,adj.,平坦的,level,The road is flat.,道路平坦。,5
flavor,n.,风味,taste,The flavor is rich.,风味浓郁。,5
flight,n.,航班,journey by air,The flight is late.,航班晚点。,5
floor,n.,地板,ground surface,The floor is clean.,地板干净。,5
flow,v.,流动,to move,Water flows downhill.,水向下流。,5
flower,n.,花,bloom,The flower is red.,花是红色的。,5
fluid,n.,流体,liquid,The fluid leaked.,液体漏了。,5
focus,v.,焦点；专注,center or concentrate,We focus on the task.,我们专注任务。,5
fold,v.,折叠,to bend,She folds the letter.,她叠信。,5
folk,n.,人们；民间的,people or traditional,The folk song is old.,民歌很古老。,5
follow,v.,跟随,to go after,We follow the path.,我们沿着路走。,5
food,n.,食物,nutrition,The food is tasty.,食物美味。,5
fool,n.,傻瓜,silly person,Do not be a fool.,别当傻瓜。,5
foot,n.,脚,body part,My foot hurts.,我的脚疼。,5
force,v.,力量；迫使,power or compel,We force a change.,我们迫使改变。,5
forest,n.,森林,trees,The forest is dense.,森林茂密。,5
forget,v.,忘记,to not recall,Do not forget the key.,别忘带钥匙。,5
form,n.,形式,shape or type,This is a new form.,这是新形式。,5
formal,adj.,正式的,official,We wore formal clothes.,我们穿了正装。,5
format,n.,格式,layout,The format changed.,格式变了。,5
former,adj.,前者的,previous,The former is better.,前者更好。,5
fortune,n.,财富；运气,wealth or luck,He made a fortune.,他发了财。,5
forward,adv.,向前,ahead,Move forward now.,现在向前走。,5
found,v.,建立,to set up,They found a school.,他们建了一所学校。,5
free,adj.,自由的,not limited,We are free now.,我们现在自由了。,5
freeze,v.,冻结,to turn to ice,Water freezes at zero.,水在零度结冰。,5
friend,n.,朋友,companion,She is my friend.,她是我的朋友。,5
frighten,v.,使害怕,to scare,The noise frightens him.,噪音吓到他。,5
fruit,n.,水果,plant food,The fruit is sweet.,水果很甜。,5
fuel,n.,燃料,energy source,The fuel ran out.,燃料用完了。,5
full,adj.,满的,packed,The cup is full.,杯子满了。,5
fun,n.,乐趣,enjoyment,We had great fun.,我们玩得开心。,5
fund,n.,资金,money,The fund grew.,资金增长了。,5
funny,adj.,有趣的,amusing,The joke is funny.,笑话很有趣。,5
fur,n.,毛皮,animal hair,The fur is soft.,毛皮柔软。,5
furniture,n.,家具,house items,The furniture is new.,家具是新的。,5
further,adv.,进一步,more,We go further.,我们走得更远。,5
future,n.,未来,time ahead,The future is bright.,未来光明。,5
gain,v.,获得,to get,We gain new insight.,我们获得新见解。,5
game,n.,游戏,play,The game is fun.,游戏有趣。,5
gap,n.,缺口,space,There is a gap here.,这里有个缺口。,5
garden,n.,花园,planted area,The garden is lovely.,花园很美。,5
gas,n.,气体,air substance,The gas leaked.,气体泄漏了。,5
gate,n.,大门,entry,The gate is open.,大门开着。,5
gather,v.,聚集,to collect,We gather at noon.,我们中午聚集。,5
gender,n.,性别,sex,The gender gap exists.,存在性别差距。,5
general,adj.,一般的,common,This is a general rule.,这是一般规则。,5
generate,v.,产生,to create,We generate power.,我们发电。,5
generous,adj.,慷慨的,giving,He is generous.,他慷慨。,5
gentle,adj.,温和的,mild,The breeze is gentle.,微风温和。,5
genuine,adj.,真正的,real,This is genuine.,这是真的。,5
gesture,n.,姿态,sign,His gesture was kind.,他的姿态友善。,5
gift,n.,礼物,present,She gave a gift.,她送了礼物。,5
girl,n.,女孩,female child,The girl smiled.,女孩笑了。,5
give,v.,给,to hand over,We give our best.,我们全力以赴。,5
glad,adj.,高兴的,happy,She is glad to help.,她乐于帮忙。,5
glass,n.,玻璃,material,The glass broke.,玻璃碎了。,5
global,adj.,全球的,worldwide,The issue is global.,问题全球化。,5
goal,n.,目标,aim,Our goal is clear.,目标明确。,5
god,n.,神,deity,They pray to god.,他们向神祈祷。,5
gold,n.,黄金,metal,The gold is pure.,黄金是纯的。,5
good,adj.,好的,fine,The food is good.,食物很好。,5
govern,v.,统治,to rule,They govern the land.,他们统治这片土地。,5
grade,n.,等级,level,He got a high grade.,他得了高分。,5
grain,n.,谷物,seed,The grain is stored.,谷物已储存。,5
grand,adj.,宏伟的,impressive,The view is grand.,景色宏伟。,5
grant,v.,授予,to give,We grant the request.,我们批准请求。,5
grass,n.,草,plant,The grass is green.,草是绿的。,5
grave,adj.,严重的,serious,This is a grave error.,这是严重错误。,5
great,adj.,伟大的,big,He is a great leader.,他是伟大的领袖。,5
green,adj.,绿色的,color,The light is green.,灯是绿的。,5
greet,v.,问候,to welcome,We greet the guest.,我们问候客人。,5
ground,n.,地面,earth,The ground is wet.,地面湿了。,5
group,n.,群体,collection,The group is small.,群体很小。,5
grow,v.,生长,to develop,We grow the business.,我们发展业务。,5
guard,v.,守卫,to protect,We guard the gate.,我们守卫大门。,5
guess,v.,猜测,to suppose,We guess the answer.,我们猜答案。,5
guest,n.,客人,visitor,The guest arrived.,客人到了。,5
guide,v.,引导,to lead,We guide the team.,我们引导团队。,5
guilt,n.,内疚,blame,He felt deep guilt.,他深感内疚。,5
habit,n.,习惯,routine,This is a bad habit.,这是坏习惯。,5
hair,n.,头发,on head,She cut her hair.,她剪了头发。,5
half,n.,一半,part,We ate half.,我们吃了一半。,5
hall,n.,大厅,room,The hall is big.,大厅很大。,5
hand,n.,手,body part,Raise your hand.,举手。,5
handle,v.,处理,to deal with,We handle the case.,我们处理案件。,5
hang,v.,悬挂,to suspend,We hang the picture.,我们挂画。,5
happen,v.,发生,to occur,What happened here.,这里发生了什么。,5
happy,adj.,快乐的,glad,She is happy today.,她今天快乐。,5
harbor,n.,港口,port,The harbor is safe.,港口安全。,5
hard,adj.,硬的；困难的,solid or tough,The task is hard.,任务困难。,5
harm,n.,伤害,damage,The harm is real.,伤害是真实的。,5
harvest,v.,收获,to gather crops,We harvest in autumn.,我们秋天收获。,5
hate,v.,憎恨,to loathe,He hates waiting.,他讨厌等待。,5
head,n.,头,body top,He nodded his head.,他点了头。,5
health,n.,健康,wellbeing,Her health is good.,她健康良好。,5
hear,v.,听见,to perceive sound,We hear the music.,我们听见音乐。,5
heart,n.,心,organ,Her heart is kind.,她心地善良。,5
heat,n.,热,warmth,The heat is intense.,热浪强烈。,5
heavy,adj.,重的,weighty,The box is heavy.,箱子很重。,5
height,n.,高度,how tall,The height is ten feet.,高度为十英尺。,5
hell,n.,地狱,underworld,He feared hell.,他害怕地狱。,5
help,v.,帮助,to aid,We help each other.,我们互相帮助。,5
hero,n.,英雄,brave person,He is a true hero.,他是真正的英雄。,5
hide,v.,隐藏,to conceal,We hide the gift.,我们藏起礼物。,5
high,adj.,高的,tall,The wall is high.,墙很高。,5
hill,n.,小山,small mountain,The hill is green.,小山是绿的。,5
hint,n.,暗示,clue,He gave a hint.,他给了暗示。,5
hire,v.,雇佣,to employ,We hire a driver.,我们雇了司机。,5
history,n.,历史,past events,The history is long.,历史悠久。,5
hit,v.,打击,to strike,He hit the ball.,他击球。,5
hold,v.,持有,to keep,We hold the line.,我们保持联络。,5
hole,n.,洞,opening,There is a hole.,这里有个洞。,5
holiday,n.,假期,break,We enjoy the holiday.,我们享受假期。,5
holy,adj.,神圣的,sacred,This is a holy site.,这是圣地。,5
home,n.,家,residence,We go home.,我们回家。,5
honest,adj.,诚实的,truthful,He is honest.,他诚实。,5
honor,n.,荣誉,respect,He won great honor.,他赢得荣誉。,5
hope,n.,希望,wish,We have hope.,我们有希望。,5
horn,n.,号角,wind instrument,He blew the horn.,他吹号角。,5
horror,n.,恐怖,dread,The horror faded.,恐怖消散了。,5
horse,n.,马,animal,The horse ran fast.,马跑得快。,5
host,n.,主人；主持,owner or presenter,We host the event.,我们主办活动。,5
hot,adj.,热的,warm,The soup is hot.,汤很烫。,5
hotel,n.,酒店,lodging,The hotel is full.,酒店客满。,5
hour,n.,小时,time unit,Wait one hour.,等一小时。,5
house,n.,房子,building,The house is old.,房子很旧。,5
huge,adj.,巨大的,very big,The cost is huge.,成本巨大。,5
human,adj.,人类,of people,This is a human need.,这是人类需求。,5
humor,n.,幽默,funny sense,He has good humor.,他很有幽默感。,5
hundred,n.,百,100,We need a hundred.,我们需要一百个。,5
hunger,n.,饥饿,need for food,The hunger grew.,饥饿加剧。,5
hunt,v.,打猎,to chase game,We hunt in the woods.,我们在林中打猎。,5
hurry,v.,匆忙,to rush,Do not hurry.,别匆忙。,5
hurt,v.,伤害,to harm,He hurt his leg.,他伤了腿。,5
husband,n.,丈夫,spouse,Her husband is kind.,她丈夫友善。,5
ice,n.,冰,frozen water,The ice melted.,冰融化了。,5
idea,n.,想法,thought,That is a good idea.,那是个好主意。,5
ideal,adj.,理想的,perfect,This is ideal.,这很理想。,5
identify,v.,识别,to recognize,We identify the risk.,我们识别风险。,5
idle,adj.,闲置的,not used,The machine is idle.,机器闲置。,5
ignore,v.,忽视,to disregard,Do not ignore the sign.,别忽视标志。,5
ill,adj.,生病的,sick,She fell ill.,她病倒了。,5
image,n.,形象,picture,The brand image is strong.,品牌形象强。,5
imagine,v.,想象,to picture,We imagine the future.,我们想象未来。,5
impact,n.,影响,effect,The impact is large.,影响很大。,5
implement,v.,实施,to carry out,We implement the plan.,我们实施方案。,5
import,v.,进口,to bring in,We import coffee.,我们进口咖啡。,5
impose,v.,强加,to force,They impose a tax.,他们强加税收。,5
improve,v.,改善,to get better,We improve the code.,我们改进代码。,5
include,v.,包括,to contain,The price includes tax.,价格含稅。,5
income,n.,收入,earnings,Her income rose.,她收入上升。,5
index,n.,指数,measure,The index fell.,指数下跌。,5
indicate,v.,表明,to show,The data indicates growth.,数据表明增长。,5
industry,n.,工业,business sector,The industry grew.,工业增长了。,5
infant,n.,婴儿,baby,The infant slept.,婴儿睡着了。,5
infect,v.,感染,to contaminate,The wound infected.,伤口感染了。,5
influence,v.,影响,to affect,We influence the outcome.,我们影响结果。,5
inform,v.,通知,to tell,We inform the client.,我们通知客户。,5
initial,adj.,最初的,first,The initial step is key.,第一步关键。,5
injure,v.,伤害,to harm,He injured his arm.,他伤了手臂。,5
inner,adj.,内部的,inside,The inner room is quiet.,里屋安静。,5
innocent,adj.,无辜的,not guilty,He is innocent.,他是无辜的。,5
input,n.,输入,data in,The input is clear.,输入清晰。,5
inquiry,n.,询问,question,We made an inquiry.,我们做了询问。,5
insist,v.,坚持,to demand,He insists on this.,他坚持这点。,5
install,v.,安装,to set up,We install the app.,我们安装应用。,5
instance,n.,实例,example,This is one instance.,这是一个实例。,5
instant,adj.,瞬间的,immediate,The change is instant.,变化是瞬间的。,5
instead,adv.,代替,replacing,We walk instead.,我们改走路。,5
institute,n.,机构,organization,The institute researches this.,该机构研究这个。,5
instruct,v.,指示,to teach,We instruct the staff.,我们指示员工。,5
insult,v.,侮辱,to offend,Do not insult him.,别侮辱他。,5
insurance,n.,保险,coverage,We bought insurance.,我们买了保险。,5
intend,v.,打算,to plan,We intend to win.,我们打算赢。,5
intent,n.,意图,purpose,His intent is clear.,他的意图明确。,5
interest,n.,兴趣,curiosity,She shows real interest.,她表现出真正兴趣。,5
interfere,v.,干涉,to meddle,Do not interfere.,别干涉。,5
internal,adj.,内部的,inner,The internal link works.,内部链接可用。,5
international,adj.,国际的,global,This is an international event.,这是国际事件。,5
interpret,v.,解释,to explain,We interpret the law.,我们解释法律。,5
interval,n.,间隔,gap,The interval is short.,间隔很短。,5
interview,n.,面试,meeting,The interview went well.,面试顺利。,5
introduce,v.,介绍,to present,Let me introduce him.,让我介绍他。,5
invent,v.,发明,to create,He invented the device.,他发明了装置。,5
invest,v.,投资,to put money,We invest in stocks.,我们投资股票。,5
invite,v.,邀请,to ask,We invite our friends.,我们邀请朋友。,5
involve,v.,涉及,to include,The task involves risk.,任务涉及风险。,5
iron,n.,铁,metal,The iron is hard.,铁很硬。,5
island,n.,岛屿,land in water,The island is small.,岛屿很小。,5
issue,n.,问题；发行,problem or release,This is a key issue.,这是关键问题。,5
item,n.,项目,thing,Each item matters.,每项都重要。,5
jail,n.,监狱,prison,He went to jail.,他进了监狱。,5
job,n.,工作,employment,She found a job.,她找到工作。,5
join,v.,加入,to become part,We join the club.,我们加入俱乐部。,5
joint,adj.,联合的,shared,This is a joint effort.,这是联合努力。,5
journal,n.,期刊,magazine,The journal is monthly.,期刊是月刊。,5
journey,n.,旅程,trip,The journey was long.,旅程漫长。,5
joy,n.,喜悦,happiness,We felt pure joy.,我们感到纯粹喜悦。,5
judge,v.,判断,to decide,We judge the case.,我们判决案件。,5
juice,n.,果汁,drink,The juice is fresh.,果汁新鲜。,5
jump,v.,跳,to leap,The cat jumped up.,猫跳起来。,5
jungle,n.,丛林,forest,The jungle is thick.,丛林茂密。,5
junior,adj.,初级的,lower,He is a junior member.,他是初级成员。,5
jury,n.,陪审团,panel,The jury decided.,陪审团作出了决定。,5
justice,n.,正义,fairness,We seek justice.,我们寻求正义。,5
justify,v.,证明…正当,to defend,He justified the cost.,他证明了成本正当。,5
keep,v.,保持,to retain,We keep the change.,我们保留零钱。,5
key,adj.,钥匙；关键的,tool or vital,This is the key point.,这是关键点。,5
kick,v.,踢,to strike with foot,He kicked the ball.,他踢了球。,5
kill,v.,杀死,to end life,Do not kill the bug.,别弄死虫子。,5
kind,adj.,善良的；种类,nice or type,She is a kind person.,她是个善良的人。,5
king,n.,国王,ruler,The king ruled fairly.,国王公正统治。,5
kiss,v.,亲吻,to touch with lips,She kissed the child.,她亲了孩子。,5
kitchen,n.,厨房,room,The kitchen is clean.,厨房干净。,5
knee,n.,膝盖,body part,He hurt his knee.,他伤了膝盖。,5
knife,n.,刀,blade,The knife is sharp.,刀很锋利。,5
knock,v.,敲,to tap,Please knock first.,请先敲门。,5
know,v.,知道,to understand,We know the answer.,我们知道答案。,5
labor,n.,劳动,work,The labor was hard.,劳动很辛苦。,5
lake,n.,湖,water,The lake is calm.,湖面平静。,5
land,n.,土地,ground,The land is fertile.,土地肥沃。,5
language,n.,语言,tongue,She speaks three languages.,她说三种语言。,5
large,adj.,大的,big,The room is large.,房间很大。,5
last,adj.,最后的,final,This is the last stop.,这是最后一站。,5
late,adj.,迟的,not on time,He is late again.,他又迟到了。,5
laugh,v.,笑,to giggle,We laugh at the joke.,我们因笑话而笑。,5
launch,v.,发射；发起,to send or start,We launch the product.,我们发布产品。,5
law,n.,法律,rule,The law protects us.,法律保护我们。,5
lay,v.,放置,to put,We lay the book down.,我们放下书。,5
lead,v.,领导,to guide,She leads the team.,她领导团队。,5
leaf,n.,叶子,plant part,The leaf is green.,叶子是绿的。,5
league,n.,联盟,group,The league expanded.,联盟扩员了。,5
leak,v.,泄漏,to escape,The pipe leaks water.,管子漏水。,5
lean,v.,倾斜,to tilt,He leaned on the wall.,他倚着墙。,5
learn,v.,学习,to study,We learn by doing.,我们通过实践学习。,5
least,adj.,最少的,smallest,This costs the least.,这花费最少。,5
leave,v.,离开,to depart,We leave at dawn.,我们黎明离开。,5
lecture,n.,讲座,talk,The lecture was clear.,讲座清晰。,5
left,adj.,左边的,on that side,Turn left here.,这里左转。,5
legal,adj.,合法的,lawful,This is a legal act.,这是合法行为。,5
lend,v.,借出,to loan,Can you lend me money.,能借我钱吗。,5
length,n.,长度,how long,The length is short.,长度很短。,5
less,adj.,更少的,fewer,We need less time.,我们需要更少时间。,5
lesson,n.,课程,class,The lesson is useful.,课程有用。,5
letter,n.,信；字母,mail or character,She wrote a letter.,她写了信。,5
level,n.,水平,standard,The level is high.,水平很高。,5
liable,adj.,有责任的,responsible,He is liable for this.,他对此负责。,5
liberal,adj.,自由的,open,He has liberal views.,他观点开明。,5
library,n.,图书馆,book place,The library is quiet.,图书馆安静。,5
license,n.,执照,permit,He renewed his license.,他续了执照。,5
lie,v.,躺；说谎,to recline or deceive,Do not lie to me.,别对我撒谎。,5
life,n.,生命,existence,Life is precious.,生命珍贵。,5
lift,v.,举起,to raise,We lift the box.,我们举起箱子。,5
light,adj.,光；轻的,bright or weightless,The bag is light.,包很轻。,5
like,v.,喜欢,to enjoy,We like the movie.,我们喜欢电影。,5
limit,n.,限制,bound,There is a limit.,有限制。,5
link,n.,联系,connection,The link is clear.,联系很清楚。,5
liquid,n.,液体,fluid,The liquid is cold.,液体很冷。,5
list,n.,列表,series,Check the list.,查看列表。,5
listen,v.,听,to hear,We listen to music.,我们听音乐。,5
little,adj.,小的,small,The dog is little.,狗很小。,5
live,v.,居住；生活,to reside,We live in the city.,我们住在城市。,5
load,v.,负载,to fill,We load the truck.,我们装车。,5
local,adj.,当地的,nearby,The local food is good.,当地食物很好。,5
lock,v.,锁,to secure,We lock the door.,我们锁门。,5
lonely,adj.,孤独的,alone,He feels lonely.,他感到孤独。,5
long,adj.,长的,extended,The road is long.,路很长。,5
look,v.,看,to see,We look at the sky.,我们看天空。,5
lose,v.,失去,to misplace,We lose the game.,我们输了比赛。,5
loss,n.,损失,deficit,The loss is small.,损失很小。,5
lot,n.,许多,much,We have a lot.,我们有很多。,5
loud,adj.,大声的,noisy,The music is loud.,音乐很大声。,5
love,v.,爱,to care for,We love our family.,我们爱家人。,5
low,adj.,低的,not high,The price is low.,价格很低。,5
loyal,adj.,忠诚的,faithful,He is a loyal friend.,他是忠诚的朋友。,5
luck,n.,运气,fortune,Bad luck struck.,厄运降临。,5
machine,n.,机器,device,The machine is fast.,机器很快。,5
mad,adj.,疯狂的,crazy,He went mad.,他疯了。,5
magazine,n.,杂志,periodical,She reads a magazine.,她读杂志。,5
mail,n.,邮件,post,The mail arrived.,邮件到了。,5
main,adj.,主要的,chief,The main reason is cost.,主要理由是成本。,5
maintain,v.,维持,to keep,We maintain the system.,我们维护系统。,5
major,adj.,主要的；专业,chief or subject,This is a major issue.,这是主要问题。,5
majority,n.,多数,most,The majority agreed.,多数人同意。,5
make,v.,制造,to create,We make a cake.,我们做蛋糕。,5
male,adj.,男性的,of men,The male lead is strong.,男主角很强。,5
mall,n.,商场,shopping place,The mall is busy.,商场很繁忙。,5
manage,v.,管理,to run,We manage the project.,我们管理项目。,5
manner,n.,方式,way,He did it in a calm manner.,他冷静地处理。,5
manual,adj.,手动的,by hand,This is a manual task.,这是手动任务。,5
manufacture,v.,制造,to produce,We manufacture cars.,我们制造汽车。,5
many,adj.,许多,numerous,We have many friends.,我们有许多朋友。,5
map,n.,地图,chart,Check the map.,查看地图。,5
mark,n.,标记,sign,He left a mark.,他留下标记。,5
market,n.,市场,place to trade,The market is open.,市场开放。,5
marriage,n.,婚姻,union,Their marriage is strong.,他们的婚姻稳固。,5
mass,n.,大量,large amount,The mass of data is huge.,数据量巨大。,5
master,v.,掌握；主人,to learn or owner,He masters the skill.,他掌握了技能。,5
match,v.,匹配,to fit,This matches the style.,这与风格匹配。,5
material,n.,材料,substance,The material is soft.,材料柔软。,5
matter,n.,事情,issue,This matter is urgent.,此事紧急。,5
mature,adj.,成熟的,grown,He is mature now.,他现在成熟了。,5
meal,n.,餐,food,The meal was good.,餐食很好。,5
mean,v.,意味着,to signify,This means a lot.,这意味深长。,5
measure,v.,测量,to size,We measure the room.,我们测量房间。,5
meat,n.,肉,food,The meat is fresh.,肉很新鲜。,5
media,n.,媒体,press,The media reported it.,媒体报道了。,5
medical,adj.,医学的,of health,He needs medical care.,他需要医疗护理。,5
meet,v.,遇见,to encounter,We meet at noon.,我们中午见。,5
melt,v.,融化,to liquefy,The snow melts.,雪融化了。,5
member,n.,成员,participant,He is a key member.,他是关键成员。,5
memory,n.,记忆,recall,The memory faded.,记忆淡去。,5
mental,adj.,精神的,of mind,He needs mental rest.,他需要精神休息。,5
mention,v.,提及,to note,She mentioned the risk.,她提到了风险。,5
menu,n.,菜单,list of food,Read the menu.,看菜单。,5
mere,adj.,仅仅的,only,He is a mere child.,他只是个孩子。,5
metal,n.,金属,element,The metal is cold.,金属很冷。,5
method,n.,方法,way,This is a new method.,这是新方法。,5
middle,n.,中间,center,We meet in the middle.,我们在中间碰面。,5
migrate,v.,迁移,to move,They migrate south.,他们南迁。,5
military,adj.,军事的,of army,The military acted.,军方行动了。,5
milk,n.,牛奶,drink,The milk is fresh.,牛奶新鲜。,5
mind,n.,头脑,brain,Keep an open mind.,保持开放心态。,5
mineral,n.,矿物,substance,The water has minerals.,水含矿物质。,5
minimum,adj.,最小的,least,We need the minimum.,我们需要最小值。,5
minister,n.,部长,official,The minister spoke.,部长发言了。,5
minor,adj.,次要的,lesser,This is a minor issue.,这是次要问题。,5
minute,n.,分钟,time,Wait one minute.,等一分钟。,5
mirror,n.,镜子,reflector,The mirror is clean.,镜子干净。,5
miss,v.,错过；想念,to skip or long for,We miss the train.,我们错过火车。,5
mix,v.,混合,to blend,We mix the colors.,我们混合颜色。,5
mode,n.,模式,way,Switch the mode.,切换模式。,5
model,n.,模型,example,This is a new model.,这是新模型。,5
modern,adj.,现代的,current,The building is modern.,建筑很现代。,5
modest,adj.,谦虚的,humble,He is modest.,他谦虚。,5
moment,n.,时刻,time,This is the key moment.,这是关键时刻。,5
money,n.,钱,currency,We save money.,我们存钱。,5
monitor,v.,监视,to watch,We monitor the system.,我们监视系统。,5
month,n.,月份,time,The project takes a month.,项目耗时一个月。,5
moral,adj.,道德的,of right,This is a moral duty.,这是道德义务。,5
more,adj.,更多的,greater,We need more time.,我们需要更多时间。,5
morning,n.,早晨,early day,The morning is calm.,早晨很宁静。,5
mother,n.,母亲,parent,His mother is kind.,他母亲友善。,5
motion,n.,运动,movement,The motion is smooth.,运动流畅。,5
motor,n.,马达,engine,The motor is loud.,马达很吵。,5
mount,v.,登上,to climb,We mount the stairs.,我们上楼梯。,5
mountain,n.,山,peak,The mountain is tall.,山很高。,5
mouse,n.,老鼠,animal,The mouse hid.,老鼠藏起来了。,5
mouth,n.,嘴,the opening in the face,The baby's mouth is small.,宝宝的嘴很小。,5
move,v.,移动,to change position,Please move the chair.,请把椅子移动一下。,5
movie,n.,电影,a film,We watched a movie.,我们看了一部电影。,5
much,adj.,许多,a large amount,We have much work.,我们有许多工作。,5
mud,n.,泥,wet soft earth,The mud is wet.,泥很湿。,5
murder,n.,谋杀,the crime of killing,The murder shocked us.,那起谋杀让我们震惊。,5
muscle,n.,肌肉,body tissue for movement,He has strong muscles.,他肌肉很强壮。,5
museum,n.,博物馆,a building for exhibits,We visited the museum.,我们参观了博物馆。,5
music,n.,音乐,sounds arranged nicely,The music is calm.,音乐很平静。,5
must,aux.,必须,have to,You must leave now.,你必须现在离开。,5
mutual,adj.,相互的,shared by two,We have mutual trust.,我们有相互的信任。,5
mystery,n.,神秘,something unknown,The case is a mystery.,这个案子是个谜。,5
nail,n.,钉子,a small metal spike,He hit the nail.,他敲了钉子。,5
naked,adj.,裸露的,not covered,The baby is naked.,宝宝光着身子。,5
name,n.,名字,what you are called,What is your name?,你叫什么名字？,5
narrow,adj.,狭窄的,not wide,The road is narrow.,这条路很窄。,5
nation,n.,国家,a country,The nation is peaceful.,这个国家很和平。,5
native,adj.,本地的,from a place,He is a native speaker.,他是本地语者。,5
natural,adj.,自然的,from nature,The view is natural.,景色很自然。,5
nature,n.,自然,the physical world,We love nature.,我们热爱自然。,5
near,adj.,近的,not far,The school is near.,学校很近。,5
neat,adj.,整洁的,clean and tidy,Her room is neat.,她的房间很整洁。,5
necessary,adj.,必要的,needed,Sleep is necessary.,睡眠是必要的。,5
need,v.,需要,to require,We need water.,我们需要水。,5
negative,adj.,消极的,not positive,He gave a negative reply.,他给了消极的回复。,5
negotiate,v.,谈判,to discuss terms,They negotiate the deal.,他们谈判这笔交易。,5
neighbor,n.,邻居,a person nearby,My neighbor is kind.,我的邻居很友善。,5
nervous,adj.,紧张的,anxious,She feels nervous.,她感到紧张。,5
net,n.,网,a mesh for catching,The fish hit the net.,鱼撞到了网。,5
never,adv.,从不,not ever,He never lies.,他从不说谎。,5
news,n.,新闻,new information,The news is good.,新闻很好。,5
nice,adj.,好的,pleasant,She is very nice.,她人很好。,5
night,n.,夜晚,the dark part of day,The night is quiet.,夜晚很安静。,5
noble,adj.,高贵的,of high rank,He is a noble man.,他是个高贵的人。,5
noise,n.,噪音,loud unwanted sound,The noise is loud.,噪音很大。,5
none,pron.,没有,not any,None of them came.,他们一个也没来。,5
normal,adj.,正常的,usual,This is normal.,这很正常。,5
north,n.,北方,the direction up,The wind is from the north.,风从北方来。,5
nose,n.,鼻子,the smell organ,His nose is red.,他的鼻子红了。,5
note,n.,笔记,a short record,Take a note.,记个笔记。,5
notice,v.,注意,to observe,Did you notice that?,你注意到那个了吗？,5
notion,n.,概念,an idea,He has an odd notion.,他有个奇怪的概念。,5
novel,n.,小说,a long story book,She wrote a novel.,她写了一本小说。,5
now,adv.,现在,at this time,We must go now.,我们现在必须走。,5
nuclear,adj.,核能的,of the nucleus,It is a nuclear plant.,这是一座核电站。,5
number,n.,数字,a count,Write the number.,写出那个数字。,5
nurse,n.,护士,a care worker,The nurse is busy.,护士很忙。,5
nut,n.,坚果,a hard seed,He ate a nut.,他吃了一颗坚果。,5
object,n.,物体；反对,a thing or to oppose,This object is heavy.,这个物体很重。,5
oblige,v.,迫使,to force,The law obliges us.,法律迫使我们。,5
observe,v.,观察,to watch,We observe the stars.,我们观察星星。,5
obtain,v.,获得,to get,He obtained a prize.,他获得了一个奖。,5
obvious,adj.,明显的,clear,The answer is obvious.,答案很明显。,5
occasion,n.,场合,a special event,It is a happy occasion.,这是个快乐的场合。,5
occupy,v.,占据,to fill,The chair is occupied.,椅子被占了。,5
occur,v.,发生,to happen,The error occurred again.,错误又发生了。,5
ocean,n.,海洋,the big sea,The ocean is deep.,海洋很深。,5
