term,pos,meaningZh,meaningEn,exampleEn,exampleZh,band
preserve,v.,保护,to keep,We kept the forest.,我们保护了森林。,7
preside,v.,主持,to lead a meeting,He led the meeting.,他主持了会议。,7
previous,adj.,以前的,past,The past record shows gain.,以前的记录显示增长。,7
primary,adj.,主要的,first,The first goal is health.,主要目标是健康。,7
prime,adj.,首要的,top,This is the top issue.,这是首要问题。,7
principal,adj./n.,主要的；校长,main,The main rule is fair.,主要原则很公平。,7
principle,n.,原则,rule,He stood by his rule.,他坚守原则。,7
priority,n.,优先,top concern,Health is the top concern.,健康是优先事项。,7
private,adj.,私人的,personal,This is a personal matter.,这是私事。,7
probable,adj.,可能的,likely,The win is likely.,胜利很可能。,7
procedure,n.,程序,process,Follow the process.,遵循程序。,7
proceed,v.,继续,to go on,We went on with work.,我们继续工作。,7
process,n./v.,过程；处理,course,We handled the task.,我们处理了任务。,7
proclaim,v.,宣布,to declare,They declared the win.,他们宣布了胜利。,7
produce,v.,生产,to make,We made the parts.,我们生产了零件。,7
product,n.,产品,item,The new item sold well.,新产品卖得好。,7
profile,n.,概况,summary,Read his summary.,读他的简介。,7
profit,n.,利润,gain,The gain was large.,利润丰厚。,7
profound,adj.,深刻的,deep,The book had a deep impact.,这本书影响深刻。,7
program,n.,项目；程序,plan,The plan launched today.,项目今天启动。,7
project,n./v.,项目；投射,plan,We launched the plan.,我们启动了项目。,7
promote,v.,促进；晋升,to advance,They advanced the cause.,他们推动了事业。,7
propose,v.,提议,to suggest,He suggested a plan.,他提议了一个计划。,7
prospect,n.,前景,outlook,The outlook is bright.,前景光明。,7
protect,v.,保护,to guard,We guarded the data.,我们保护了数据。,7
protest,n./v.,抗议,objection,They objected to the law.,他们抗议这项法律。,7
provide,v.,提供,to give,We gave support.,我们提供了支持。,7
province,n.,省,region,The region is large.,这个省很大。,7
publish,v.,出版,to release,They released the book.,他们出版了书。,7
purchase,v.,购买,to buy,We bought the land.,我们购买了土地。,7
pursue,v.,追求,to chase,He chased his dream.,他追求梦想。,7
qualified,adj.,合格的,skilled,She is a skilled worker.,她是合格的人手。,7
quality,n.,质量,standard,The standard is high.,质量很高。,7
quantity,n.,数量,amount,The amount grew.,数量增加了。,7
quote,v./n.,引用；报价,to cite,He cited the line.,他引用了那句话。,7
radical,adj.,激进的,extreme,The change was extreme.,变化很激进。,7
random,adj.,随机的,by chance,We picked by chance.,我们随机选的。,7
range,n./v.,范围；变动,span,Prices span wide.,价格范围很广。,7
ratio,n.,比率,proportion,The proportion is odd.,比率奇怪。,7
rational,adj.,理性的,logical,He made a logical choice.,他做了理性选择。,7
react,v.,反应,to respond,We responded fast.,我们反应很快。,7
realistic,adj.,现实的,practical,Set a practical goal.,定个现实的目标。,7
reason,n./v.,理由；推理,cause,He gave a clear cause.,他给出了理由。,7
recall,v.,回忆,to remember,She remembered the day.,她回忆起那天。,7
recent,adj.,最近的,new,The new data is key.,最新数据很关键。,7
recognize,v.,认出,to know,We knew the face.,我们认出了他。,7
recommend,v.,推荐,to suggest,He suggested the book.,他推荐了这本书。,7
record,n./v.,记录,to note,We noted the result.,我们记录了结果。,7
recover,v.,恢复,to get well,He got well soon.,他很快恢复了。,7
refine,v.,精炼,to improve,We improved the method.,我们精炼了方法。,7
reflect,v.,反映,to show,The data shows the trend.,数据反映了趋势。,7
reform,v./n.,改革,to improve,They improved the system.,他们改革了制度。,7
refuge,n.,避难所,shelter,They found a shelter.,他们找到了避难所。,7
region,n.,地区,area,The area is dry.,这个地区很干旱。,7
register,v.,登记,to sign up,Please sign up first.,请先登记。,7
regulate,v.,监管,to control,The state controls trade.,政府监管贸易。,7
reinforce,v.,加强,to strengthen,We strengthened the wall.,我们加固了墙。,7
reject,v.,拒绝,to refuse,They refused the offer.,他们拒绝了提议。,7
relate,v.,关联,to connect,We connected the facts.,我们关联了事实。,7
release,v.,释放；发布,to free,They freed the news.,他们发布了消息。,7
relevant,adj.,相关的,related,This is a related point.,这点相关。,7
relief,n.,缓解,ease,The aid brought ease.,援助带来了缓解。,7
rely,v.,依赖,to depend,We depend on you.,我们依赖你。,7
remain,v.,保持,to stay,We stayed calm.,我们保持冷静。,7
remote,adj.,偏远的,far,The village is far.,村庄很偏远。,7
remove,v.,移除,to take away,Please take it away.,请移除它。,7
repair,v.,修理,to fix,We fixed the car.,我们修理了车。,7
replace,v.,替换,to swap,We swapped the part.,我们替换了部件。,7
report,n./v.,报告,to tell,He told the boss.,他汇报了。,7
represent,v.,代表,to stand for,He stood for the group.,他代表团队。,7
repress,v.,压抑,to hold back,He held back his anger.,他压抑了怒火。,7
reproduce,v.,复制,to copy,We copied the result.,我们复现了结果。,7
research,n./v.,研究,study,We studied the cause.,我们研究了原因。,7
resident,n.,居民,local,The local complained.,居民抱怨了。,7
resist,v.,抵抗,to oppose,They opposed the plan.,他们抵抗了计划。,7
resolve,v.,解决,to settle,We settled the issue.,我们解决了问题。,7
resource,n.,资源,asset,We lack the asset.,我们缺乏资源。,7
respond,v.,回应,to reply,We replied fast.,我们迅速回应。,7
restore,v.,恢复,to bring back,We brought back the old look.,我们恢复了旧貌。,7
restrain,v.,克制,to hold back,He held back his tears.,他克制住了眼泪。,7
restrict,v.,限制,to limit,We limited access.,我们限制了进入。,7
retain,v.,保留,to keep,We kept the right.,我们保留了权利。,7
reveal,v.,揭示,to show,The test showed the truth.,测试揭示了真相。,7
reverse,v./adj.,反转；相反的,to flip,We flipped the order.,我们反转了顺序。,7
revise,v.,修订,to edit,We edited the draft.,我们修订了草稿。,7
reward,n./v.,奖励,prize,He won a prize.,他得到了奖励。,7
rigid,adj.,僵化的,stiff,The rule is stiff.,规定很僵化。,7
role,n.,角色,part,He played a key part.,他扮演了关键角色。,7
route,n.,路线,path,Take the safe path.,走安全的路线。,7
routine,n.,常规,habit,This is our daily habit.,这是我们的日常常规。,7
rule,n./v.,规则；统治,law,Follow the law.,遵守规则。,7
rural,adj.,农村的,country,The country side is quiet.,农村很安静。,7
satisfy,v.,满足,to please,We pleased the client.,我们满足了客户。,7
scarce,adj.,稀缺的,rare,Water is rare here.,这里水很稀缺。,7
scatter,v.,散播,to spread,The wind spread the seeds.,风播撒了种子。,7
scheme,n.,计划,plan,They made a clever plan.,他们制定了一个计划。,7
scope,n.,范围,extent,The extent is clear.,范围很清楚。,7
section,n.,部分,part,Read this part.,读这一部分。,7
sector,n.,部门,field,The public field grew.,公共部门发展了。,7
secure,adj./v.,安全的；确保,safe,We kept the data safe.,我们确保了数据安全。,7
seek,v.,寻求,to look for,We looked for help.,我们寻求帮助。,7
segment,n.,部分,piece,This piece is key.,这一段很关键。,7
select,v.,选择,to pick,Please pick a card.,请选择一张卡。,7
senior,adj.,资深的,older,He is a senior staff.,他是资深员工。,7
sequence,n.,顺序,order,Follow the right order.,遵循正确的顺序。,7
series,n.,系列,set,We launched a new set.,我们推出了一系列。,7
settle,v.,解决；定居,to resolve,They resolved the case.,他们解决了案子。,7
severe,adj.,严重的,grave,The wound was grave.,伤势很严重。,7
shift,v./n.,转变,change,The change was quick.,转变很快。,7
significant,adj.,重要的,major,This is a major find.,这是个重要发现。,7
similar,adj.,相似的,alike,The two are alike.,两者相似。,7
simulate,v.,模拟,to mimic,We mimicked the crash.,我们模拟了崩溃。,7
site,n.,地点,place,This is the build place.,这是施工地点。,7
situation,n.,情况,state,The state is stable.,情况稳定。,7
slight,adj.,轻微的,small,There was a small error.,有轻微错误。,7
smooth,adj.,平滑的,even,The ride was even.,路程很平稳。,7
social,adj.,社会的,of society,The issue affects us all.,这是社会问题。,7
sole,adj.,唯一的,only,He is the only heir.,他是唯一的继承人。,7
solid,adj.,坚固的,firm,The base is firm.,地基很坚固。,7
solution,n.,解决方案,answer,We found the answer.,我们找到了解决方案。,7
solve,v.,解决,to fix,We fixed the puzzle.,我们解决了难题。,7
somewhat,adv.,有点,rather,It is rather cold.,有点冷。,7
source,n.,来源,origin,Find the true origin.,找到真正的来源。,7
specific,adj.,具体的,precise,Give a precise date.,给个具体日期。,7
specify,v.,指定,to state,Please state the cost.,请指定费用。,7
sphere,n.,领域；球体,field,This is his field.,这是他的领域。,7
stable,adj.,稳定的,steady,The market is steady.,市场很稳定。,7
statistic,n.,统计,data point,The data point surprised us.,这个统计数据令人惊讶。,7
status,n.,状态,state,Check the current state.,查看当前状态。,7
steady,adj.,稳定的,stable,The pace is stable.,节奏稳定。,7
stimulus,n.,刺激,trigger,The tax cut was a trigger.,减税是个刺激。,7
strategy,n.,策略,plan,We need a smart plan.,我们需要策略。,7
stress,n./v.,压力；强调,pressure,He felt real pressure.,他感到了压力。,7
strict,adj.,严格的,rigid,The rule is rigid.,规定很严格。,7
strike,v.,打击,to hit,The union hit back.,工会发起了罢工。,7
structure,n.,结构,frame,The frame is sound.,结构很稳固。,7
submit,v.,提交,to send,Please send the form.,请提交表格。,7
subsequent,adj.,随后的,later,The later test failed.,随后的测试失败了。,7
subsidy,n.,补贴,aid,The farm aid helped.,补贴帮了农民。,7
substance,n.,物质,matter,The matter is toxic.,这种物质有毒。,7
subtle,adj.,微妙的,delicate,The difference is delicate.,差别很微妙。,7
substitute,n./v.,替代品；替代,a replacement,Use a replacement part.,用替代部件。,7
succeed,v.,成功,to win,We won at last.,我们终于成功了。,7
sufficient,adj.,充足的,enough,We have enough time.,时间充足。,7
suggest,v.,建议,to propose,He proposed a fix.,他建议了一个办法。,7
summary,n.,摘要,brief,Read the brief first.,先读摘要。,7
supplement,n./v.,补充,to add to,We added a new part.,我们补充了内容。,7
supply,n./v.,供应,to provide,We provided the parts.,我们供应了零件。,7
support,n./v.,支持,to back,We backed the plan.,我们支持这个计划。,7
suppose,v.,假设,to assume,Let us assume he is right.,假设他是对的。,7
supreme,adj.,最高的,highest,The highest court ruled.,最高法院裁决了。,7
surface,n.,表面,outer face,The outer face is rough.,表面很粗糙。,7
survey,n./v.,调查,to study,We studied the trend.,我们调查了趋势。,7
survive,v.,生存,to live,They lived through the storm.,他们在风暴中幸存。,7
suspect,v./n.,怀疑；嫌疑犯,to doubt,We doubt the claim.,我们怀疑这个说法。,7
sustain,v.,维持,to keep up,We kept up the pace.,我们维持了节奏。,7
swift,adj.,迅速的,fast,The fast response saved us.,迅速的反应救了我们。,7
symbol,n.,象征,sign,The dove is a sign of peace.,鸽子是和平的象征。,7
system,n.,系统,setup,The setup failed.,系统出故障了。,7
target,n./v.,目标；瞄准,goal,We hit our goal.,我们达成了目标。,7
task,n.,任务,job,The job is done.,任务完成了。,7
technical,adj.,技术的,of skill,He has a skilled role.,他担任技术职务。,7
technique,n.,技术,method,This method works.,这招技术有效。,7
technology,n.,科技,tech,The tech advanced fast.,科技发展迅速。,7
temporary,adj.,临时的,short-term,This is a short-term fix.,这是临时办法。,7
tend,v.,倾向于,to lean,He leans toward yes.,他倾向于同意。,7
term,n.,术语；学期,word,Learn this word.,学这个术语。,7
theme,n.,主题,topic,The topic is clear.,主题明确。,7
theory,n.,理论,idea,His idea explains it.,他的理论解释了现象。,7
thereby,adv.,从而,thus,Thus we won.,从而我们赢了。,7
thorough,adj.,彻底的,complete,We did a complete check.,我们做了彻底检查。,7
threat,n.,威胁,risk,The risk is real.,威胁是真实的。,7
thus,adv.,因此,so,So we left.,因此我们离开。,7
tighten,v.,收紧,to make tight,They made rules tight.,他们收紧了规定。,7
tolerate,v.,容忍,to bear,We bore the noise.,我们容忍了噪音。,7
topic,n.,话题,subject,The subject changed.,话题变了。,7
trace,n./v.,痕迹；追踪,to follow,We followed the clue.,我们追踪了线索。,7
track,n./v.,轨道；追踪,path,We followed the path.,我们追踪了轨迹。,7
trade,n./v.,贸易,to exchange,They exchanged goods.,他们做贸易。,7
traditional,adj.,传统的,old-style,This is an old-style dance.,这是传统舞蹈。,7
traffic,n.,交通,cars,The cars jammed the road.,交通堵塞了。,7
transfer,v.,转移,to move,We moved the funds.,我们转移了资金。,7
transform,v.,转变,to change,The news changed her.,这转变了她。,7
transit,n.,运输,transport,The transport was late.,运输迟到了。,7
transmit,v.,传输,to send,We sent the signal.,我们传输了信号。,7
transport,n./v.,运输,to carry,They carried the goods.,他们运输了货物。,7
trend,n.,趋势,pattern,The pattern is clear.,趋势明显。,7
trigger,v./n.,触发；扳机,to start,The spark started the fire.,扳机引发了火灾。,7
ultimate,adj.,最终的,final,The final goal is peace.,最终目标是和平。,7
unable,adj.,无法的,not able,He was not able to come.,他无法前来。,7
undergo,v.,经历,to experience,He experienced pain.,他经历了痛苦。,7
underlie,v.,构成基础,to be base,Trust underlies all.,信任是一切的基础。,7
undertake,v.,承担,to take on,He took on the task.,他承担了任务。,7
uniform,adj./n.,统一的；制服,standard,We wore the standard dress.,我们穿着统一制服。,7
unify,v.,统一,to join,We joined the groups.,我们统一了各团体。,7
unique,adj.,独特的,one of a kind,This is one of a kind.,这很独特。,7
update,v./n.,更新,to refresh,We refreshed the page.,我们更新了页面。,7
utility,n.,效用,use,The tool has real use.,这工具很有用。,7
utilize,v.,利用,to use,We used the data.,我们利用了数据。,7
valid,adj.,有效的,legal,The ticket is legal.,这张票有效。,7
vary,v.,变化,to differ,Prices differ daily.,价格每天变化。,7
vehicle,n.,车辆,car,The car broke down.,车辆抛锚了。,7
version,n.,版本,form,This form is new.,这是新版本。,7
via,prep.,经由,by way of,Send it by mail.,经由邮件发送。,7
victim,n.,受害者,one harmed,The harmed man recovered.,受害者康复了。,7
violate,v.,违反,to break,Do not break the law.,不要违反法律。,7
virtual,adj.,虚拟的,online,The online meeting worked.,虚拟会议很顺利。,7
visible,adj.,可见的,seen,The mark was seen.,痕迹清晰可见。,7
vision,n.,愿景,view,He shared his view.,他分享了愿景。,7
vital,adj.,至关重要的,key,This is a key step.,这步至关重要。,7
volume,n.,量；体积,amount,The amount grew.,体量增加了。,7
voluntary,adj.,自愿的,by choice,The act was by choice.,这是自愿行为。,7
vote,n./v.,投票,to choose,We chose the leader.,我们投票选了领袖。,7
wage,n./v.,工资；发动,pay,The pay rose at last.,工资终于涨了。,7
welfare,n.,福利,wellbeing,The aid boosted wellbeing.,福利改善了。,7
whereas,conj.,然而,while,He left while she stayed.,然而她留下了。,7
whereby,adv.,借此,by which,By this we won.,借此我们赢了。,7
widespread,adj.,广泛的,common,The view is common.,这很普遍。,7
wisdom,n.,智慧,insight,His insight guided us.,他的智慧指引了我们。,7
